Selected Gene,Overlapping Gene,Overlapping Strand,Overlapping Gene name,Overlapping Gene start (bp),Overlapping Gene end (bp),Selected Strand,Selected Gene name,Selected Gene start (bp),Selected Gene end (bp),overlap type
ENSG00000205726,ENSG00000205758,-1,CRYZL1,33589341,33641741,1,ITSN1,33642400,33899861,5.0
ENSG00000159147,ENSG00000205758,-1,CRYZL1,33589341,33641741,-1,DONSON,33559542,33588706,1.0
ENSG00000205758,ENSG00000205726,1,ITSN1,33642501,33899861,-1,CRYZL1,33589341,33643926,5.0
ENSG00000160208,ENSG00000160207,-1,HSF2BP,43529186,43659488,1,RRP1B,43659560,43696079,2.0
ENSG00000234289,ENSG00000160207,-1,HSF2BP,43529186,43659488,1,H2BC12L,43565182,43565648,5.0
ENSG00000241945,ENSG00000160218,1,TRAPPC10,44012309,44106552,1,PWP2,44107373,44131181,1.0
ENSG00000154727,ENSG00000154723,-1,ATP5PF,25724500,25734904,1,GABPA,25734570,25772460,5.0
ENSG00000185808,ENSG00000182670,1,TTC3,37073254,37203107,-1,PIGP,37062846,37073170,2.0
ENSG00000160207,ENSG00000160208,1,RRP1B,43659560,43696079,-1,HSF2BP,43529186,43659488,2.0
ENSG00000215455,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-1,44538981,44540195,6.0
ENSG00000205445,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-2,44550357,44551505,6.0
ENSG00000212935,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-3,44557790,44558795,6.0
ENSG00000241123,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-5,44579455,44580604,6.0
ENSG00000188155,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-6,44591268,44592505,6.0
ENSG00000272804,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-7,44600597,44602174,5.0
ENSG00000187766,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-8,44612079,44612954,5.0
ENSG00000221859,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-10,44637356,44638455,5.0
ENSG00000243489,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-11,44646414,44647650,5.0
ENSG00000212933,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP12-4,44654213,44654659,6.0
ENSG00000205439,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP12-3,44657932,44658341,5.0
ENSG00000221864,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP12-2,44666189,44666927,6.0
ENSG00000187175,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP12-1,44681576,44682163,6.0
ENSG00000221837,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-9,44627093,44628378,5.0
ENSG00000215454,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-4,44573729,44575371,5.0
ENSG00000189169,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-12,44697172,44698044,5.0
ENSG00000154723,ENSG00000154727,1,GABPA,25734972,25772460,-1,ATP5PF,25716503,25735673,5.0
ENSG00000160294,ENSG00000182362,1,YBEY,46286342,46297751,-1,MCM3AP,46235133,46286297,2.0
ENSG00000182362,ENSG00000160294,-1,MCM3AP,46235133,46285611,1,YBEY,46286342,46297751,2.0
ENSG00000160298,ENSG00000160299,1,PCNT,46324156,46445769,-1,C21orf58,46300181,46323875,2.0
ENSG00000286224,ENSG00000160299,1,PCNT,46324156,46445769,1,,46326288,46326491,6.0
ENSG00000159131,ENSG00000159140,1,SON,33543038,33577481,-1,GART,33503931,33543491,2.0
ENSG00000243646,ENSG00000159110,1,IFNAR2,33229938,33265664,1,IL10RB,33266367,33311420,1.0
ENSG00000182670,ENSG00000185808,-1,PIGP,37065374,37073071,1,TTC3,37073226,37203112,2.0
ENSG00000160299,ENSG00000160298,-1,C21orf58,46301130,46323870,1,PCNT,46324124,46445769,2.0
ENSG00000159140,ENSG00000159131,-1,GART,33503933,33542117,1,SON,33543038,33577481,2.0
ENSG00000141665,ENSG00000075336,1,TIMM21,74148523,74160531,-1,FBXO15,74073353,74147843,2.0
ENSG00000134779,ENSG00000150477,1,KIAA1328,36829127,37225334,-1,TPGS2,36777647,36829216,2.0
ENSG00000141424,ENSG00000134759,1,ELP2,36129899,36180557,-1,SLC39A6,36108531,36129385,2.0
ENSG00000134759,ENSG00000141424,-1,SLC39A6,36108531,36129340,1,ELP2,36129444,36180557,2.0
ENSG00000197563,ENSG00000134444,1,RELCH,62187255,62310249,-1,PIGN,61905255,62187118,2.0
ENSG00000150477,ENSG00000134779,-1,TPGS2,36794108,36829002,1,KIAA1328,36829106,37232172,2.0
ENSG00000078043,ENSG00000167216,1,KATNAL2,46917602,47102243,-1,PIAS2,46803218,46920160,5.0
ENSG00000206181,ENSG00000167216,1,KATNAL2,46917602,47102243,-1,ELOA2,47032527,47035621,5.0
ENSG00000134444,ENSG00000197563,-1,PIGN,62041164,62187056,1,RELCH,62187255,62310249,2.0
ENSG00000177150,ENSG00000101654,1,RNMT,13726673,13764556,-1,FAM210A,13663347,13726663,2.0
ENSG00000101654,ENSG00000177150,-1,FAM210A,13663347,13726558,1,RNMT,13726660,13764556,2.0
ENSG00000075336,ENSG00000141665,-1,FBXO15,74073368,74147834,1,TIMM21,74148523,74160531,2.0
ENSG00000101574,ENSG00000080986,1,NDC80,2571557,2616635,-1,METTL4,2537525,2571509,2.0
ENSG00000080986,ENSG00000101574,-1,METTL4,2537530,2571505,1,NDC80,2571557,2616635,2.0
ENSG00000167216,ENSG00000078043,-1,PIAS2,46803218,46917507,1,KATNAL2,46917492,47103478,5.0
ENSG00000166845,ENSG00000174448,-1,STARD6,54324492,54357858,1,C18orf54,54357906,54385218,2.0
ENSG00000174448,ENSG00000166845,1,C18orf54,54357906,54382034,-1,STARD6,54324358,54357964,2.0
ENSG00000101624,ENSG00000128789,1,PSMG2,12703042,12725740,-1,CEP76,12661833,12702777,5.0
ENSG00000128789,ENSG00000101624,-1,CEP76,12672625,12702723,1,PSMG2,12658043,12728945,5.0
ENSG00000255112,ENSG00000141404,1,GNAL,11689264,11885685,1,CHMP1B,11851413,11854444,6.0
ENSG00000141644,ENSG00000154832,-1,CXXC1,50282347,50287692,-1,MBD1,50266882,50281774,1.0
ENSG00000180205,ENSG00000180305,1,WFDC10A,45629739,45631196,-1,WFDC9,45607939,45631284,5.0
ENSG00000180305,ENSG00000180205,-1,WFDC9,45607939,45631284,1,WFDC10A,45629739,45631196,5.0
ENSG00000089101,ENSG00000101343,-1,CRNKL1,20034368,20052466,1,CFAP61,20052514,20360703,5.0
ENSG00000132825,ENSG00000196227,1,FAM217B,59940389,59948680,-1,PPP1R3D,59936663,59940305,5.0
ENSG00000101182,ENSG00000184402,1,SS18L1,62143769,62182514,-1,PSMA7,62136733,62143440,2.0
ENSG00000101181,ENSG00000184402,1,SS18L1,62143769,62182514,1,MTG2,62183028,62203568,1.0
ENSG00000184402,ENSG00000101182,-1,PSMA7,62136733,62143394,1,SS18L1,62143769,62182514,2.0
ENSG00000196227,ENSG00000132825,-1,PPP1R3D,59936663,59940305,1,FAM217B,59933764,59948680,5.0
ENSG00000124232,ENSG00000124159,-1,MATN4,45293450,45308299,1,RBPJL,45306840,45317824,5.0
ENSG00000124172,ENSG00000101166,-1,PRELID3B,59033145,59042786,-1,ATP5F1E,59025475,59032345,1.0
ENSG00000244462,ENSG00000214078,-1,CPNE1,35626044,35664900,-1,RBM12,35648925,35664956,3.0
ENSG00000285723,ENSG00000125863,-1,MKKS,10401009,10434222,-1,MKKS,10420546,10420737,6.0
ENSG00000126003,ENSG00000101346,1,POFUT1,32207880,32238658,-1,PLAGL2,32192504,32207743,2.0
ENSG00000126005,ENSG00000242372,-1,EIF6,35278918,35284772,-1,MMP24OS,35201745,35278131,1.0
ENSG00000125901,ENSG00000125787,1,GNRH2,3043622,3045747,1,MRPS26,3046052,3048250,1.0
ENSG00000185019,ENSG00000215251,-1,FASTKD5,3146519,3159865,-1,UBOX5,3107573,3160196,3.0
ENSG00000125871,ENSG00000089006,-1,SNX5,17941600,17968794,1,MGME1,17969018,17991122,2.0
ENSG00000232838,ENSG00000149474,1,KAT14,18137863,18188035,1,PET117,18137863,18143169,3.0
ENSG00000132801,ENSG00000101473,-1,ACOT8,45841721,45857392,1,ZSWIM3,45857614,45879122,2.0
ENSG00000149609,ENSG00000125967,-1,NECAB3,33657087,33674428,1,C20orf144,33662327,33665619,5.0
ENSG00000288649,ENSG00000125967,-1,NECAB3,33657087,33674428,1,ACTL10,33666943,33668525,5.0
ENSG00000242372,ENSG00000125998,-1,FAM83C,35285731,35292425,-1,EIF6,35278907,35284985,1.0
ENSG00000089006,ENSG00000125871,1,MGME1,17969018,17991122,-1,SNX5,17941597,17968980,2.0
ENSG00000244005,ENSG00000125995,1,ROMO1,35699405,35700980,-1,NFS1,35668052,35699355,2.0
ENSG00000125995,ENSG00000244005,-1,NFS1,35668052,35699352,1,ROMO1,35699272,35700984,2.0
ENSG00000214078,ENSG00000244462,-1,RBM12,35648925,35664900,-1,CPNE1,35626031,35664956,3.0
ENSG00000124116,ENSG00000101457,1,DNTTIP1,45791954,45811418,-1,WFDC3,45747944,45791932,2.0
ENSG00000101457,ENSG00000124116,-1,WFDC3,45774213,45791883,1,DNTTIP1,45791954,45811427,2.0
ENSG00000087586,ENSG00000101138,1,CSTF1,56392645,56406362,-1,AURKA,56369389,56392337,2.0
ENSG00000101138,ENSG00000087586,-1,AURKA,56369390,56392215,1,CSTF1,56392371,56406362,2.0
ENSG00000101247,ENSG00000089048,-1,ESF1,13714325,13784919,1,NDUFAF5,13785007,13821580,2.0
ENSG00000124217,ENSG00000000419,-1,DPM1,50934870,50958532,1,MOCS3,50958818,50963929,2.0
ENSG00000101343,ENSG00000089101,1,CFAP61,20052532,20360698,-1,CRNKL1,20034368,20056046,5.0
ENSG00000124257,ENSG00000064601,1,CTSA,45891335,45898820,-1,NEURL2,45888625,45891208,5.0
ENSG00000089048,ENSG00000101247,1,NDUFAF5,13785028,13821580,-1,ESF1,13714322,13784919,2.0
ENSG00000000419,ENSG00000124217,1,MOCS3,50958818,50963929,-1,DPM1,50934867,50959140,2.0
ENSG00000168634,ENSG00000182931,-1,WFDC10B,45684651,45705019,1,WFDC13,45702038,45708817,5.0
ENSG00000243509,ENSG00000258366,1,RTEL1,63658312,63696245,1,TNFRSF6B,63696652,63698684,1.0
ENSG00000101246,ENSG00000197114,1,ZGPAT,63708039,63736142,-1,ARFRP1,63698642,63708025,2.0
ENSG00000203896,ENSG00000197114,1,ZGPAT,63708039,63736142,1,LIME1,63736283,63739103,1.0
ENSG00000197114,ENSG00000101246,-1,ARFRP1,63698647,63707976,1,ZGPAT,63707465,63736142,2.0
ENSG00000125520,ENSG00000203896,1,LIME1,63736664,63739103,1,SLC2A4RG,63739776,63744050,1.0
ENSG00000198326,ENSG00000258713,1,C20orf141,2814987,2815830,1,TMEM239,2816302,2820284,1.0
ENSG00000132635,ENSG00000215305,1,VPS16,2840745,2866732,-1,PCED1A,2835314,2841190,2.0
ENSG00000215305,ENSG00000132635,-1,PCED1A,2835314,2840655,1,VPS16,2840703,2866732,2.0
ENSG00000149599,ENSG00000131044,1,TTLL9,31870634,31945000,-1,DUSP15,31847637,31870664,2.0
ENSG00000149474,ENSG00000232838,1,PET117,18137863,18143169,1,KAT14,18137228,18188387,3.0
ENSG00000182931,ENSG00000168634,1,WFDC13,45702038,45708817,-1,WFDC10B,45684651,45705019,5.0
ENSG00000215251,ENSG00000185019,-1,UBOX5,3107573,3159865,-1,FASTKD5,3146519,3159865,3.0
ENSG00000100983,ENSG00000078814,1,MYH7B,34955868,35002437,-1,GSS,34928432,34956027,2.0
ENSG00000124159,ENSG00000124232,1,RBPJL,45306840,45317824,-1,MATN4,45293445,45308529,5.0
ENSG00000132664,ENSG00000089091,-1,DZANK1,18383367,18467030,1,POLR3F,18466878,18484648,2.0
ENSG00000101473,ENSG00000132801,1,ZSWIM3,45857614,45879122,-1,ACOT8,45841721,45857405,2.0
ENSG00000180383,ENSG00000088320,1,REM1,31475288,31484895,-1,DEFB124,31465471,31476757,5.0
ENSG00000088320,ENSG00000180383,-1,DEFB124,31465471,31475127,1,REM1,31475288,31484895,5.0
ENSG00000089195,ENSG00000125885,1,MCM8,5950652,5998977,-1,TRMT6,5937228,5950558,2.0
ENSG00000125885,ENSG00000089195,-1,TRMT6,5937228,5950533,1,MCM8,5950652,5998977,2.0
ENSG00000089091,ENSG00000132664,1,POLR3F,18467390,18484646,-1,DZANK1,18383367,18467281,2.0
ENSG00000101898,ENSG00000101294,1,HM13,31514442,31569543,1,MCTS2,31547379,31548081,6.0
ENSG00000131044,ENSG00000149599,-1,DUSP15,31861077,31870527,1,TTLL9,31870634,31945000,2.0
ENSG00000171700,ENSG00000125510,1,OPRL1,64080082,64100633,-1,RGS19,64073181,64079988,2.0
ENSG00000171695,ENSG00000125510,1,OPRL1,64080082,64100633,-1,LKAAEAR1,64083376,64084398,5.0
ENSG00000198276,ENSG00000196700,-1,ZNF512B,63956704,63969930,-1,UCKL1,63939829,63956416,1.0
ENSG00000125848,ENSG00000172264,1,MACROD2,13995516,16053197,-1,FLRT3,14322985,14337614,5.0
ENSG00000101346,ENSG00000126003,-1,PLAGL2,32192504,32207743,1,POFUT1,32207855,32238658,2.0
ENSG00000064601,ENSG00000124257,-1,NEURL2,45888634,45891208,1,CTSA,45890144,45898949,5.0
ENSG00000053438,ENSG00000166619,-1,BLCAP,37517417,37527876,1,NNAT,37521206,37523690,5.0
ENSG00000125510,ENSG00000171700,-1,RGS19,64073181,64079518,1,OPRL1,64080082,64100643,2.0
ENSG00000078814,ENSG00000100983,-1,GSS,34928432,34955806,1,MYH7B,34955810,35002437,2.0
ENSG00000101407,ENSG00000101413,1,RPRD1B,38033746,38092364,-1,TTI1,37983007,38033461,2.0
ENSG00000101413,ENSG00000101407,-1,TTI1,37983021,38033456,1,RPRD1B,38033725,38127780,2.0
ENSG00000182858,ENSG00000184164,1,CRELD2,49918634,49927537,-1,ALG12,49900229,49918438,2.0
ENSG00000172404,ENSG00000196236,1,XPNPEP3,40857148,40932815,-1,DNAJB7,40859549,40862113,5.0
ENSG00000100380,ENSG00000196236,1,XPNPEP3,40857148,40932815,-1,ST13,40824535,40856639,2.0
ENSG00000196236,ENSG00000100380,-1,ST13,40824535,40856639,1,XPNPEP3,40857077,40932815,2.0
ENSG00000100104,ENSG00000100099,-1,HPS4,26450882,26483783,1,SRRD,26483877,26494658,2.0
ENSG00000100028,ENSG00000138867,-1,GUCD1,24540438,24555138,1,SNRPD3,24555958,24582052,2.0
ENSG00000133422,ENSG00000253352,1,TUG1,30969265,30979395,-1,MORC2,30925130,30968774,2.0
ENSG00000285025,ENSG00000100335,1,MIEF1,39502290,39518132,1,MIURF,39504231,39504443,6.0
ENSG00000184164,ENSG00000182858,-1,ALG12,49900229,49918438,1,CRELD2,49918167,49927540,2.0
ENSG00000100410,ENSG00000100412,1,ACO2,41469117,41528974,-1,PHF5A,41459717,41468692,5.0
ENSG00000100418,ENSG00000196419,1,XRCC6,41621295,41664041,-1,DESI1,41598028,41621043,2.0
ENSG00000196419,ENSG00000100418,-1,DESI1,41598028,41621043,1,XRCC6,41621163,41664048,2.0
ENSG00000100209,ENSG00000183765,-1,CHEK2,28687743,28741820,1,HSCB,28742039,28757515,2.0
ENSG00000093010,ENSG00000184470,-1,TXNRD2,19875522,19941818,1,COMT,19941371,19969975,2.0
ENSG00000100084,ENSG00000185608,1,MRPL40,19432545,19436075,-1,HIRA,19330698,19447450,5.0
ENSG00000070010,ENSG00000093009,1,CDC45,19479920,19520608,-1,UFD1,19449911,19479202,2.0
ENSG00000093009,ENSG00000070010,-1,UFD1,19449911,19479193,1,CDC45,19479457,19520612,2.0
ENSG00000203618,ENSG00000184702,1,SEPTIN5,19714503,19723319,1,GP1BB,19723539,19724771,1.0
ENSG00000185838,ENSG00000215012,-1,RTL10,19846146,19854874,-1,GNB1L,19783223,19854939,3.0
ENSG00000184470,ENSG00000093010,1,COMT,19941772,19969975,-1,TXNRD2,19875517,19941820,2.0
ENSG00000128159,ENSG00000100429,-1,HDAC10,50245183,50251265,-1,TUBGCP6,50217689,50245023,1.0
ENSG00000183066,ENSG00000100167,1,SEPTIN3,41969443,41998221,1,WBP2NL,41998725,42058456,1.0
ENSG00000138867,ENSG00000100028,1,SNRPD3,24555999,24574971,-1,GUCD1,24540423,24555935,2.0
ENSG00000128309,ENSG00000128311,-1,TST,37010865,37019447,1,MPST,37019635,37029821,2.0
ENSG00000128346,ENSG00000100142,1,POLR2F,37953699,37969312,-1,C22orf23,37943050,37953669,5.0
ENSG00000100142,ENSG00000128346,-1,C22orf23,37943050,37953601,1,POLR2F,37952607,38041915,5.0
ENSG00000128298,ENSG00000184381,-1,PLA2G6,38111495,38181830,-1,BAIAP2L2,38084652,38111015,1.0
ENSG00000100263,ENSG00000182944,1,EWSR1,29268268,29300521,-1,RHBDD3,29259872,29268209,2.0
ENSG00000100319,ENSG00000184076,1,UQCR10,29767369,29770413,-1,ZMAT5,29730956,29767011,2.0
ENSG00000184076,ENSG00000100319,-1,ZMAT5,29730956,29767007,1,UQCR10,29767369,29770413,2.0
ENSG00000099995,ENSG00000187860,1,CCDC157,30357007,30378673,-1,SF3A1,30331988,30356919,2.0
ENSG00000242114,ENSG00000100003,1,SEC14L2,30397018,30425303,1,MTFP1,30425623,30429054,1.0
ENSG00000099958,ENSG00000099956,1,SMARCB1,23786966,23838009,-1,DERL3,23834503,23839128,5.0
ENSG00000206203,ENSG00000100056,-1,ESS2,19130279,19144651,1,TSSK2,19131308,19132622,5.0
ENSG00000100075,ENSG00000070371,-1,CLTCL1,19179473,19291719,-1,SLC25A1,19175581,19178739,1.0
ENSG00000128266,ENSG00000100218,-1,RSPH14,23059415,23141990,1,GNAZ,23070519,23125032,5.0
ENSG00000100116,ENSG00000189060,1,H1-0,37805229,37807432,1,GCAT,37807905,37817176,1.0
ENSG00000100412,ENSG00000100410,-1,PHF5A,41459717,41468692,1,ACO2,41447830,41529273,5.0
ENSG00000185608,ENSG00000100084,-1,HIRA,19330698,19431733,1,MRPL40,19432545,19436075,5.0
ENSG00000243811,ENSG00000244509,1,APOBEC3C,39014257,39020352,1,APOBEC3D,39021113,39033277,1.0
ENSG00000099937,ENSG00000241973,-1,PI4KA,20707691,20858811,1,SERPIND1,20774113,20787720,5.0
ENSG00000099940,ENSG00000241973,-1,PI4KA,20707691,20858811,1,SNAP29,20859007,20891214,2.0
ENSG00000100258,ENSG00000025770,1,NCAPH2,50508224,50524780,-1,LMF2,50502949,50507702,2.0
ENSG00000284194,ENSG00000025770,1,NCAPH2,50508224,50524780,-1,SCO2,50523568,50526461,5.0
ENSG00000284194,ENSG00000025708,-1,TYMP,50525752,50530012,-1,SCO2,50523568,50526461,1.0
ENSG00000025770,ENSG00000100258,-1,LMF2,50502949,50507702,1,NCAPH2,50508224,50524780,2.0
ENSG00000025708,ENSG00000177989,-1,ODF3B,50530426,50532498,-1,TYMP,50525752,50530032,1.0
ENSG00000205560,ENSG00000100288,-1,CHKB,50578963,50582849,-1,CPT1B,50568861,50578465,1.0
ENSG00000184949,ENSG00000100211,1,CBY1,38656638,38673850,-1,FAM227A,38578118,38656629,2.0
ENSG00000187860,ENSG00000099995,-1,SF3A1,30331988,30356894,1,CCDC157,30356635,30378673,2.0
ENSG00000100253,ENSG00000128165,1,ADM2,50481543,50486437,1,MIOX,50486784,50490648,1.0
ENSG00000249222,ENSG00000100243,-1,CYB5R3,42617840,42649392,-1,ATP5MGL,42639803,42640601,6.0
ENSG00000183172,ENSG00000177096,1,PHETA2,42074248,42079438,1,SMDT1,42079691,42084284,1.0
ENSG00000100156,ENSG00000128298,-1,BAIAP2L2,38084900,38110684,-1,SLC16A8,38078134,38084184,1.0
ENSG00000100211,ENSG00000184949,-1,FAM227A,38578118,38656392,1,CBY1,38656636,38673854,2.0
ENSG00000241973,ENSG00000099940,1,SNAP29,20859007,20891214,-1,PI4KA,20707691,20859417,2.0
ENSG00000225528,ENSG00000100351,1,GRAP2,39901084,39973721,1,TMA7B,39960397,39964905,6.0
ENSG00000253352,ENSG00000133422,-1,MORC2,30925130,30968774,1,TUG1,30969245,30979395,2.0
ENSG00000100099,ENSG00000100104,1,SRRD,26483877,26494658,-1,HPS4,26443107,26483931,2.0
ENSG00000128311,ENSG00000128309,1,MPST,37019742,37029815,-1,TST,37010859,37020183,2.0
ENSG00000099949,ENSG00000183773,1,AIFM3,20967255,20981358,1,LZTR1,20982269,20999032,1.0
ENSG00000099899,ENSG00000099901,1,RANBP1,20116104,20127355,-1,TRMT2A,20111875,20117392,5.0
ENSG00000182944,ENSG00000100263,-1,RHBDD3,29259872,29267981,1,EWSR1,29268009,29300525,2.0
ENSG00000077935,ENSG00000128408,1,RIBC2,45413693,45432509,-1,SMC1B,45344063,45413619,2.0
ENSG00000128408,ENSG00000077935,-1,SMC1B,45344063,45413599,1,RIBC2,45413693,45432509,2.0
ENSG00000215012,ENSG00000185838,-1,GNB1L,19783223,19854874,-1,RTL10,19846138,19854896,3.0
ENSG00000099901,ENSG00000099899,-1,TRMT2A,20111875,20117226,1,RANBP1,20115938,20127355,5.0
ENSG00000100234,ENSG00000185666,-1,SYN3,32507820,33058381,1,TIMP3,32801705,32863041,5.0
ENSG00000198911,ENSG00000100147,1,CCDC134,41800679,41832164,1,SREBF2,41833105,41907306,1.0
ENSG00000183765,ENSG00000100209,1,HSCB,28742039,28757510,-1,CHEK2,28687743,28742422,2.0
ENSG00000087301,ENSG00000180998,1,GPR137C,52552836,52637713,-1,TXNDC16,52430596,52552522,2.0
ENSG00000180998,ENSG00000087301,-1,TXNDC16,52430596,52552505,1,GPR137C,52552836,52637713,2.0
ENSG00000126790,ENSG00000050130,1,JKAMP,59484517,59505410,-1,L3HYPDH,59460363,59484408,2.0
ENSG00000050130,ENSG00000126790,-1,L3HYPDH,59472606,59484408,1,JKAMP,59484443,59505410,2.0
ENSG00000180008,ENSG00000198554,-1,WDHD1,54938949,55027099,1,SOCS4,55027230,55049489,2.0
ENSG00000165898,ENSG00000119655,-1,NPC2,74479940,74493305,1,ISCA2,74493756,74497106,2.0
ENSG00000198718,ENSG00000179454,-1,KLHL28,44924324,44961947,1,TOGARAM1,44962190,45074431,5.0
ENSG00000053770,ENSG00000070367,-1,EXOC5,57200507,57268905,1,AP5M1,57268924,57298742,2.0
ENSG00000070367,ENSG00000053770,1,AP5M1,57268971,57298742,-1,EXOC5,57200507,57268905,2.0
ENSG00000196663,ENSG00000100865,-1,CINP,102348282,102362890,1,TECPR2,102362941,102502477,2.0
ENSG00000066739,ENSG00000100744,1,GSKIP,96363526,96387288,-1,ATG2B,96279195,96363341,2.0
