gene_name,gene_id,Transcript Flag,num_tss,num_tss_binned
AARD,ENSG00000205002.4,GENCODE Basic,1,1
AARD,ENSG00000205002.4,GENCODE Comprehensive,2,2
AARD,ENSG00000205002.4,GENCODE Primary,1,1
AARD,ENSG00000205002.4,Protein Coding (contains an ORF),1,1
AARS1,ENSG00000090861.17,GENCODE Basic,7,7
AARS1,ENSG00000090861.17,GENCODE Comprehensive,17,>10
AARS1,ENSG00000090861.17,GENCODE Primary,5,5
AARS1,ENSG00000090861.17,Protein Coding (contains an ORF),7,7
AARS2,ENSG00000124608.5,GENCODE Basic,1,1
AARS2,ENSG00000124608.5,GENCODE Comprehensive,2,2
AARS2,ENSG00000124608.5,GENCODE Primary,1,1
AARS2,ENSG00000124608.5,Protein Coding (contains an ORF),1,1
AARSD1,ENSG00000266967.7,GENCODE Basic,1,1
AARSD1,ENSG00000266967.7,GENCODE Comprehensive,18,>10
AARSD1,ENSG00000266967.7,GENCODE Primary,1,1
AARSD1,ENSG00000266967.7,Protein Coding (contains an ORF),2,2
AASDH,ENSG00000157426.14,GENCODE Basic,4,4
AASDH,ENSG00000157426.14,GENCODE Comprehensive,9,9
AASDH,ENSG00000157426.14,GENCODE Primary,4,4
AASDH,ENSG00000157426.14,Protein Coding (contains an ORF),4,4
AASDHPPT,ENSG00000149313.11,GENCODE Basic,1,1
AASDHPPT,ENSG00000149313.11,GENCODE Comprehensive,5,5
AASDHPPT,ENSG00000149313.11,GENCODE Primary,1,1
AASDHPPT,ENSG00000149313.11,Protein Coding (contains an ORF),3,3
AASS,ENSG00000008311.16,GENCODE Basic,6,6
AASS,ENSG00000008311.16,GENCODE Comprehensive,20,>10
AASS,ENSG00000008311.16,GENCODE Primary,3,3
AASS,ENSG00000008311.16,Protein Coding (contains an ORF),6,6
AATF,ENSG00000275700.6,GENCODE Basic,6,6
AATF,ENSG00000275700.6,GENCODE Comprehensive,15,>10
AATF,ENSG00000275700.6,GENCODE Primary,2,2
AATF,ENSG00000275700.6,Protein Coding (contains an ORF),7,7
AATK,ENSG00000181409.14,GENCODE Basic,2,2
AATK,ENSG00000181409.14,GENCODE Comprehensive,11,>10
AATK,ENSG00000181409.14,GENCODE Primary,2,2
AATK,ENSG00000181409.14,Protein Coding (contains an ORF),5,5
ABAT,ENSG00000183044.12,GENCODE Basic,5,5
ABAT,ENSG00000183044.12,GENCODE Comprehensive,15,>10
ABAT,ENSG00000183044.12,GENCODE Primary,1,1
ABAT,ENSG00000183044.12,Protein Coding (contains an ORF),9,9
ABCA1,ENSG00000165029.17,GENCODE Basic,2,2
ABCA1,ENSG00000165029.17,GENCODE Comprehensive,3,3
ABCA1,ENSG00000165029.17,GENCODE Primary,2,2
ABCA1,ENSG00000165029.17,Protein Coding (contains an ORF),2,2
ABCA10,ENSG00000154263.18,GENCODE Basic,2,2
ABCA10,ENSG00000154263.18,GENCODE Comprehensive,12,>10
ABCA10,ENSG00000154263.18,GENCODE Primary,1,1
ABCA10,ENSG00000154263.18,Protein Coding (contains an ORF),4,4
ABCA12,ENSG00000144452.15,GENCODE Basic,3,3
ABCA12,ENSG00000144452.15,GENCODE Comprehensive,3,3
ABCA12,ENSG00000144452.15,GENCODE Primary,2,2
ABCA12,ENSG00000144452.15,Protein Coding (contains an ORF),3,3
ABCA13,ENSG00000179869.15,GENCODE Basic,1,1
ABCA13,ENSG00000179869.15,GENCODE Comprehensive,6,6
ABCA13,ENSG00000179869.15,GENCODE Primary,1,1
ABCA13,ENSG00000179869.15,Protein Coding (contains an ORF),4,4
ABCA2,ENSG00000107331.18,GENCODE Basic,3,3
ABCA2,ENSG00000107331.18,GENCODE Comprehensive,21,>10
ABCA2,ENSG00000107331.18,GENCODE Primary,3,3
ABCA2,ENSG00000107331.18,Protein Coding (contains an ORF),4,4
ABCA3,ENSG00000167972.14,GENCODE Basic,3,3
ABCA3,ENSG00000167972.14,GENCODE Comprehensive,6,6
ABCA3,ENSG00000167972.14,GENCODE Primary,2,2
ABCA3,ENSG00000167972.14,Protein Coding (contains an ORF),3,3
ABCA4,ENSG00000198691.14,GENCODE Basic,2,2
ABCA4,ENSG00000198691.14,GENCODE Comprehensive,7,7
ABCA4,ENSG00000198691.14,GENCODE Primary,2,2
ABCA4,ENSG00000198691.14,Protein Coding (contains an ORF),2,2
ABCA5,ENSG00000154265.16,GENCODE Basic,2,2
ABCA5,ENSG00000154265.16,GENCODE Comprehensive,14,>10
ABCA5,ENSG00000154265.16,GENCODE Primary,1,1
ABCA5,ENSG00000154265.16,Protein Coding (contains an ORF),7,7
ABCA6,ENSG00000154262.13,GENCODE Basic,2,2
ABCA6,ENSG00000154262.13,GENCODE Comprehensive,7,7
ABCA6,ENSG00000154262.13,GENCODE Primary,1,1
ABCA6,ENSG00000154262.13,Protein Coding (contains an ORF),2,2
ABCA7,ENSG00000064687.13,GENCODE Basic,1,1
ABCA7,ENSG00000064687.13,GENCODE Comprehensive,18,>10
ABCA7,ENSG00000064687.13,GENCODE Primary,1,1
ABCA7,ENSG00000064687.13,Protein Coding (contains an ORF),5,5
ABCA8,ENSG00000141338.15,GENCODE Basic,2,2
ABCA8,ENSG00000141338.15,GENCODE Comprehensive,11,>10
ABCA8,ENSG00000141338.15,GENCODE Primary,2,2
ABCA8,ENSG00000141338.15,Protein Coding (contains an ORF),3,3
ABCA9,ENSG00000154258.17,GENCODE Basic,3,3
ABCA9,ENSG00000154258.17,GENCODE Comprehensive,8,8
ABCA9,ENSG00000154258.17,GENCODE Primary,3,3
ABCA9,ENSG00000154258.17,Protein Coding (contains an ORF),4,4
ABCB1,ENSG00000085563.15,GENCODE Basic,2,2
ABCB1,ENSG00000085563.15,GENCODE Comprehensive,10,10
ABCB1,ENSG00000085563.15,GENCODE Primary,1,1
ABCB1,ENSG00000085563.15,Protein Coding (contains an ORF),3,3
ABCB10,ENSG00000135776.5,GENCODE Basic,1,1
ABCB10,ENSG00000135776.5,GENCODE Comprehensive,3,3
ABCB10,ENSG00000135776.5,GENCODE Primary,1,1
ABCB10,ENSG00000135776.5,Protein Coding (contains an ORF),1,1
ABCB11,ENSG00000073734.10,GENCODE Basic,1,1
ABCB11,ENSG00000073734.10,GENCODE Comprehensive,6,6
ABCB11,ENSG00000073734.10,GENCODE Primary,1,1
ABCB11,ENSG00000073734.10,Protein Coding (contains an ORF),3,3
ABCB4,ENSG00000005471.19,GENCODE Basic,4,4
ABCB4,ENSG00000005471.19,GENCODE Comprehensive,12,>10
ABCB4,ENSG00000005471.19,GENCODE Primary,4,4
ABCB4,ENSG00000005471.19,Protein Coding (contains an ORF),6,6
ABCB5,ENSG00000004846.17,GENCODE Basic,3,3
ABCB5,ENSG00000004846.17,GENCODE Comprehensive,5,5
ABCB5,ENSG00000004846.17,GENCODE Primary,3,3
ABCB5,ENSG00000004846.17,Protein Coding (contains an ORF),3,3
ABCB6,ENSG00000115657.14,GENCODE Basic,2,2
ABCB6,ENSG00000115657.14,GENCODE Comprehensive,13,>10
ABCB6,ENSG00000115657.14,GENCODE Primary,2,2
ABCB6,ENSG00000115657.14,Protein Coding (contains an ORF),2,2
ABCB7,ENSG00000131269.19,GENCODE Basic,5,5
ABCB7,ENSG00000131269.19,GENCODE Comprehensive,12,>10
ABCB7,ENSG00000131269.19,GENCODE Primary,1,1
ABCB7,ENSG00000131269.19,Protein Coding (contains an ORF),6,6
ABCB8,ENSG00000197150.13,GENCODE Basic,5,5
ABCB8,ENSG00000197150.13,GENCODE Comprehensive,15,>10
ABCB8,ENSG00000197150.13,GENCODE Primary,3,3
ABCB8,ENSG00000197150.13,Protein Coding (contains an ORF),7,7
ABCB9,ENSG00000150967.19,GENCODE Basic,6,6
ABCB9,ENSG00000150967.19,GENCODE Comprehensive,19,>10
ABCB9,ENSG00000150967.19,GENCODE Primary,6,6
ABCB9,ENSG00000150967.19,Protein Coding (contains an ORF),14,>10
ABCC1,ENSG00000103222.20,GENCODE Basic,2,2
ABCC1,ENSG00000103222.20,GENCODE Comprehensive,8,8
ABCC1,ENSG00000103222.20,GENCODE Primary,2,2
ABCC1,ENSG00000103222.20,Protein Coding (contains an ORF),2,2
ABCC10,ENSG00000124574.16,GENCODE Basic,2,2
ABCC10,ENSG00000124574.16,GENCODE Comprehensive,10,10
ABCC10,ENSG00000124574.16,GENCODE Primary,2,2
ABCC10,ENSG00000124574.16,Protein Coding (contains an ORF),4,4
ABCC11,ENSG00000121270.16,GENCODE Basic,3,3
ABCC11,ENSG00000121270.16,GENCODE Comprehensive,8,8
ABCC11,ENSG00000121270.16,GENCODE Primary,2,2
ABCC11,ENSG00000121270.16,Protein Coding (contains an ORF),4,4
ABCC12,ENSG00000140798.17,GENCODE Basic,2,2
ABCC12,ENSG00000140798.17,GENCODE Comprehensive,10,10
ABCC12,ENSG00000140798.17,GENCODE Primary,2,2
ABCC12,ENSG00000140798.17,Protein Coding (contains an ORF),2,2
ABCC2,ENSG00000023839.12,GENCODE Basic,1,1
ABCC2,ENSG00000023839.12,GENCODE Comprehensive,7,7
ABCC2,ENSG00000023839.12,GENCODE Primary,1,1
ABCC2,ENSG00000023839.12,Protein Coding (contains an ORF),1,1
ABCC3,ENSG00000108846.16,GENCODE Basic,3,3
ABCC3,ENSG00000108846.16,GENCODE Comprehensive,17,>10
ABCC3,ENSG00000108846.16,GENCODE Primary,2,2
ABCC3,ENSG00000108846.16,Protein Coding (contains an ORF),4,4
ABCC4,ENSG00000125257.16,GENCODE Basic,4,4
ABCC4,ENSG00000125257.16,GENCODE Comprehensive,14,>10
ABCC4,ENSG00000125257.16,GENCODE Primary,1,1
ABCC4,ENSG00000125257.16,Protein Coding (contains an ORF),5,5
ABCC5,ENSG00000114770.17,GENCODE Basic,4,4
ABCC5,ENSG00000114770.17,GENCODE Comprehensive,10,10
ABCC5,ENSG00000114770.17,GENCODE Primary,4,4
ABCC5,ENSG00000114770.17,Protein Coding (contains an ORF),5,5
ABCC6,ENSG00000091262.17,GENCODE Basic,3,3
ABCC6,ENSG00000091262.17,GENCODE Comprehensive,7,7
ABCC6,ENSG00000091262.17,GENCODE Primary,2,2
ABCC6,ENSG00000091262.17,Protein Coding (contains an ORF),3,3
ABCC8,ENSG00000006071.16,GENCODE Basic,6,6
ABCC8,ENSG00000006071.16,GENCODE Comprehensive,54,>10
ABCC8,ENSG00000006071.16,GENCODE Primary,4,4
ABCC8,ENSG00000006071.16,Protein Coding (contains an ORF),9,9
ABCC9,ENSG00000069431.14,GENCODE Basic,8,8
ABCC9,ENSG00000069431.14,GENCODE Comprehensive,15,>10
ABCC9,ENSG00000069431.14,GENCODE Primary,4,4
ABCC9,ENSG00000069431.14,Protein Coding (contains an ORF),9,9
ABCD1,ENSG00000101986.12,GENCODE Basic,2,2
ABCD1,ENSG00000101986.12,GENCODE Comprehensive,3,3
ABCD1,ENSG00000101986.12,GENCODE Primary,2,2
ABCD1,ENSG00000101986.12,Protein Coding (contains an ORF),2,2
ABCD2,ENSG00000173208.4,GENCODE Basic,1,1
ABCD2,ENSG00000173208.4,GENCODE Comprehensive,1,1
ABCD2,ENSG00000173208.4,GENCODE Primary,1,1
ABCD2,ENSG00000173208.4,Protein Coding (contains an ORF),1,1
ABCD3,ENSG00000117528.14,GENCODE Basic,2,2
ABCD3,ENSG00000117528.14,GENCODE Comprehensive,7,7
ABCD3,ENSG00000117528.14,GENCODE Primary,1,1
ABCD3,ENSG00000117528.14,Protein Coding (contains an ORF),3,3
ABCD4,ENSG00000119688.21,GENCODE Basic,2,2
ABCD4,ENSG00000119688.21,GENCODE Comprehensive,23,>10
ABCD4,ENSG00000119688.21,GENCODE Primary,2,2
ABCD4,ENSG00000119688.21,Protein Coding (contains an ORF),5,5
ABCE1,ENSG00000164163.11,GENCODE Basic,1,1
ABCE1,ENSG00000164163.11,GENCODE Comprehensive,8,8
ABCE1,ENSG00000164163.11,GENCODE Primary,1,1
ABCE1,ENSG00000164163.11,Protein Coding (contains an ORF),2,2
ABCF1,ENSG00000204574.14,GENCODE Basic,3,3
ABCF1,ENSG00000204574.14,GENCODE Comprehensive,6,6
ABCF1,ENSG00000204574.14,GENCODE Primary,2,2
ABCF1,ENSG00000204574.14,Protein Coding (contains an ORF),3,3
ABCF2,ENSG00000033050.9,GENCODE Basic,1,1
ABCF2,ENSG00000033050.9,GENCODE Comprehensive,5,5
ABCF2,ENSG00000033050.9,GENCODE Primary,1,1
ABCF2,ENSG00000033050.9,Protein Coding (contains an ORF),3,3
ABCF2-H2BK1,ENSG00000285292.1,GENCODE Basic,1,1
ABCF2-H2BK1,ENSG00000285292.1,GENCODE Comprehensive,1,1
ABCF2-H2BK1,ENSG00000285292.1,GENCODE Primary,1,1
ABCF2-H2BK1,ENSG00000285292.1,Protein Coding (contains an ORF),1,1
ABCF3,ENSG00000161204.12,GENCODE Basic,2,2
ABCF3,ENSG00000161204.12,GENCODE Comprehensive,17,>10
ABCF3,ENSG00000161204.12,GENCODE Primary,2,2
ABCF3,ENSG00000161204.12,Protein Coding (contains an ORF),2,2
ABCG1,ENSG00000160179.20,GENCODE Basic,6,6
ABCG1,ENSG00000160179.20,GENCODE Comprehensive,11,>10
ABCG1,ENSG00000160179.20,GENCODE Primary,2,2
ABCG1,ENSG00000160179.20,Protein Coding (contains an ORF),7,7
ABCG2,ENSG00000118777.12,GENCODE Basic,3,3
ABCG2,ENSG00000118777.12,GENCODE Comprehensive,5,5
ABCG2,ENSG00000118777.12,GENCODE Primary,2,2
ABCG2,ENSG00000118777.12,Protein Coding (contains an ORF),5,5
ABCG4,ENSG00000172350.10,GENCODE Basic,3,3
ABCG4,ENSG00000172350.10,GENCODE Comprehensive,6,6
ABCG4,ENSG00000172350.10,GENCODE Primary,2,2
ABCG4,ENSG00000172350.10,Protein Coding (contains an ORF),4,4
ABCG5,ENSG00000138075.14,GENCODE Basic,1,1
ABCG5,ENSG00000138075.14,GENCODE Comprehensive,4,4
ABCG5,ENSG00000138075.14,GENCODE Primary,1,1
ABCG5,ENSG00000138075.14,Protein Coding (contains an ORF),1,1
ABCG8,ENSG00000143921.9,GENCODE Basic,1,1
ABCG8,ENSG00000143921.9,GENCODE Comprehensive,3,3
ABCG8,ENSG00000143921.9,GENCODE Primary,1,1
ABCG8,ENSG00000143921.9,Protein Coding (contains an ORF),2,2
ABHD1,ENSG00000143994.14,GENCODE Basic,2,2
ABHD1,ENSG00000143994.14,GENCODE Comprehensive,7,7
ABHD1,ENSG00000143994.14,GENCODE Primary,2,2
ABHD1,ENSG00000143994.14,Protein Coding (contains an ORF),3,3
ABHD10,ENSG00000144827.9,GENCODE Basic,2,2
ABHD10,ENSG00000144827.9,GENCODE Comprehensive,5,5
ABHD10,ENSG00000144827.9,GENCODE Primary,1,1
ABHD10,ENSG00000144827.9,Protein Coding (contains an ORF),2,2
ABHD11,ENSG00000106077.19,GENCODE Basic,4,4
ABHD11,ENSG00000106077.19,GENCODE Comprehensive,12,>10
ABHD11,ENSG00000106077.19,GENCODE Primary,4,4
ABHD11,ENSG00000106077.19,Protein Coding (contains an ORF),4,4
ABHD12,ENSG00000100997.20,GENCODE Basic,3,3
ABHD12,ENSG00000100997.20,GENCODE Comprehensive,13,>10
ABHD12,ENSG00000100997.20,GENCODE Primary,1,1
ABHD12,ENSG00000100997.20,Protein Coding (contains an ORF),8,8
ABHD12B,ENSG00000131969.15,GENCODE Basic,2,2
ABHD12B,ENSG00000131969.15,GENCODE Comprehensive,7,7
ABHD12B,ENSG00000131969.15,GENCODE Primary,2,2
ABHD12B,ENSG00000131969.15,Protein Coding (contains an ORF),2,2
ABHD13,ENSG00000139826.6,GENCODE Basic,1,1
ABHD13,ENSG00000139826.6,GENCODE Comprehensive,1,1
ABHD13,ENSG00000139826.6,GENCODE Primary,1,1
ABHD13,ENSG00000139826.6,Protein Coding (contains an ORF),1,1
ABHD14A,ENSG00000248487.10,GENCODE Basic,2,2
ABHD14A,ENSG00000248487.10,GENCODE Comprehensive,5,5
ABHD14A,ENSG00000248487.10,GENCODE Primary,1,1
ABHD14A,ENSG00000248487.10,Protein Coding (contains an ORF),4,4
ABHD14A-ACY1,ENSG00000114786.16,GENCODE Basic,1,1
ABHD14A-ACY1,ENSG00000114786.16,GENCODE Comprehensive,19,>10
ABHD14A-ACY1,ENSG00000114786.16,GENCODE Primary,1,1
ABHD14A-ACY1,ENSG00000114786.16,Protein Coding (contains an ORF),4,4
ABHD14B,ENSG00000114779.20,GENCODE Basic,5,5
ABHD14B,ENSG00000114779.20,GENCODE Comprehensive,6,6
ABHD14B,ENSG00000114779.20,GENCODE Primary,5,5
ABHD14B,ENSG00000114779.20,Protein Coding (contains an ORF),5,5
ABHD15,ENSG00000168792.5,GENCODE Basic,1,1
ABHD15,ENSG00000168792.5,GENCODE Comprehensive,1,1
ABHD15,ENSG00000168792.5,GENCODE Primary,1,1
ABHD15,ENSG00000168792.5,Protein Coding (contains an ORF),1,1
ABHD16A,ENSG00000204427.12,GENCODE Basic,2,2
ABHD16A,ENSG00000204427.12,GENCODE Comprehensive,16,>10
ABHD16A,ENSG00000204427.12,GENCODE Primary,1,1
ABHD16A,ENSG00000204427.12,Protein Coding (contains an ORF),2,2
ABHD16B,ENSG00000183260.7,GENCODE Basic,1,1
ABHD16B,ENSG00000183260.7,GENCODE Comprehensive,1,1
ABHD16B,ENSG00000183260.7,GENCODE Primary,1,1
ABHD16B,ENSG00000183260.7,Protein Coding (contains an ORF),1,1
ABHD17A,ENSG00000129968.17,GENCODE Basic,3,3
ABHD17A,ENSG00000129968.17,GENCODE Comprehensive,6,6
ABHD17A,ENSG00000129968.17,GENCODE Primary,2,2
ABHD17A,ENSG00000129968.17,Protein Coding (contains an ORF),3,3
ABHD17B,ENSG00000107362.14,GENCODE Basic,2,2
ABHD17B,ENSG00000107362.14,GENCODE Comprehensive,2,2
ABHD17B,ENSG00000107362.14,GENCODE Primary,2,2
ABHD17B,ENSG00000107362.14,Protein Coding (contains an ORF),2,2
ABHD17C,ENSG00000136379.12,GENCODE Basic,3,3
ABHD17C,ENSG00000136379.12,GENCODE Comprehensive,5,5
ABHD17C,ENSG00000136379.12,GENCODE Primary,2,2
ABHD17C,ENSG00000136379.12,Protein Coding (contains an ORF),3,3
ABHD18,ENSG00000164074.17,GENCODE Basic,2,2
ABHD18,ENSG00000164074.17,GENCODE Comprehensive,6,6
ABHD18,ENSG00000164074.17,GENCODE Primary,2,2
ABHD18,ENSG00000164074.17,Protein Coding (contains an ORF),3,3
ABHD2,ENSG00000140526.18,GENCODE Basic,2,2
ABHD2,ENSG00000140526.18,GENCODE Comprehensive,9,9
ABHD2,ENSG00000140526.18,GENCODE Primary,1,1
ABHD2,ENSG00000140526.18,Protein Coding (contains an ORF),5,5
ABHD3,ENSG00000158201.10,GENCODE Basic,3,3
ABHD3,ENSG00000158201.10,GENCODE Comprehensive,9,9
ABHD3,ENSG00000158201.10,GENCODE Primary,3,3
ABHD3,ENSG00000158201.10,Protein Coding (contains an ORF),5,5
ABHD4,ENSG00000100439.11,GENCODE Basic,1,1
ABHD4,ENSG00000100439.11,GENCODE Comprehensive,8,8
ABHD4,ENSG00000100439.11,GENCODE Primary,1,1
ABHD4,ENSG00000100439.11,Protein Coding (contains an ORF),3,3
ABHD5,ENSG00000011198.10,GENCODE Basic,3,3
ABHD5,ENSG00000011198.10,GENCODE Comprehensive,16,>10
ABHD5,ENSG00000011198.10,GENCODE Primary,2,2
ABHD5,ENSG00000011198.10,Protein Coding (contains an ORF),7,7
ABHD6,ENSG00000163686.15,GENCODE Basic,2,2
ABHD6,ENSG00000163686.15,GENCODE Comprehensive,7,7
ABHD6,ENSG00000163686.15,GENCODE Primary,2,2
ABHD6,ENSG00000163686.15,Protein Coding (contains an ORF),4,4
ABHD8,ENSG00000127220.6,GENCODE Basic,1,1
ABHD8,ENSG00000127220.6,GENCODE Comprehensive,2,2
ABHD8,ENSG00000127220.6,GENCODE Primary,1,1
ABHD8,ENSG00000127220.6,Protein Coding (contains an ORF),2,2
ABI1,ENSG00000136754.18,GENCODE Basic,8,8
ABI1,ENSG00000136754.18,GENCODE Comprehensive,9,9
ABI1,ENSG00000136754.18,GENCODE Primary,5,5
ABI1,ENSG00000136754.18,Protein Coding (contains an ORF),8,8
ABI2,ENSG00000138443.17,GENCODE Basic,5,5
ABI2,ENSG00000138443.17,GENCODE Comprehensive,21,>10
ABI2,ENSG00000138443.17,GENCODE Primary,4,4
ABI2,ENSG00000138443.17,Protein Coding (contains an ORF),8,8
ABI3,ENSG00000108798.9,GENCODE Basic,2,2
ABI3,ENSG00000108798.9,GENCODE Comprehensive,4,4
ABI3,ENSG00000108798.9,GENCODE Primary,2,2
ABI3,ENSG00000108798.9,Protein Coding (contains an ORF),4,4
ABI3BP,ENSG00000154175.19,GENCODE Basic,4,4
ABI3BP,ENSG00000154175.19,GENCODE Comprehensive,27,>10
ABI3BP,ENSG00000154175.19,GENCODE Primary,4,4
ABI3BP,ENSG00000154175.19,Protein Coding (contains an ORF),20,>10
ABITRAM,ENSG00000119328.12,GENCODE Basic,2,2
ABITRAM,ENSG00000119328.12,GENCODE Comprehensive,4,4
ABITRAM,ENSG00000119328.12,GENCODE Primary,2,2
ABITRAM,ENSG00000119328.12,Protein Coding (contains an ORF),3,3
ABL1,ENSG00000097007.20,GENCODE Basic,2,2
ABL1,ENSG00000097007.20,GENCODE Comprehensive,3,3
ABL1,ENSG00000097007.20,GENCODE Primary,2,2
ABL1,ENSG00000097007.20,Protein Coding (contains an ORF),3,3
ABL2,ENSG00000143322.22,GENCODE Basic,5,5
ABL2,ENSG00000143322.22,GENCODE Comprehensive,11,>10
ABL2,ENSG00000143322.22,GENCODE Primary,5,5
ABL2,ENSG00000143322.22,Protein Coding (contains an ORF),5,5
ABLIM1,ENSG00000099204.23,GENCODE Basic,8,8
ABLIM1,ENSG00000099204.23,GENCODE Comprehensive,15,>10
ABLIM1,ENSG00000099204.23,GENCODE Primary,8,8
ABLIM1,ENSG00000099204.23,Protein Coding (contains an ORF),11,>10
ABLIM2,ENSG00000163995.22,GENCODE Basic,9,9
ABLIM2,ENSG00000163995.22,GENCODE Comprehensive,14,>10
ABLIM2,ENSG00000163995.22,GENCODE Primary,5,5
ABLIM2,ENSG00000163995.22,Protein Coding (contains an ORF),10,10
ABLIM3,ENSG00000173210.21,GENCODE Basic,6,6
ABLIM3,ENSG00000173210.21,GENCODE Comprehensive,11,>10
ABLIM3,ENSG00000173210.21,GENCODE Primary,5,5
ABLIM3,ENSG00000173210.21,Protein Coding (contains an ORF),6,6
ABO,ENSG00000175164.16,GENCODE Basic,2,2
ABO,ENSG00000175164.16,GENCODE Comprehensive,4,4
